promise_id,promise_text,topic,keywords,status,progress_score,evidence_summary,last_checked,has_parliamentary_bill,has_enacted_legislation,parliamentary_evidence_count,parliamentary_status,title,url,source_type,date_published,evidence_text,suggested_status,collected_at,evidence_id,relevance_score,checked_by_human,search_query,is_relevant,review_note,manual_description,normalized_url,global_source_key,is_duplicate_global_source
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,ONS search results for: mandatory housing targets NPPF National Planning Policy Fram,https://www.ons.gov.uk/search?q=mandatory+housing+targets+NPPF+National+Planning+Policy+Framework,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0085,50,no,mandatory housing targets NPPF National Planning Policy Framework,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,True
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,Legislation.gov.uk search results for: mandatory housing targets NPPF National Planning Policy Fram,https://www.legislation.gov.uk/all?title=mandatory+housing+targets+NPPF+National+Planning+Policy+Framework,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0086,50,no,mandatory housing targets NPPF National Planning Policy Framework,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Local Planning and Housing Bill,https://bills.parliament.uk/bills/1530,Parliamentary Bill,Not available,Parliamentary Bill item related to this promise. Human review is needed to confirm its relevance.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/1530,https://bills.parliament.uk/bills/1530,False
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning and Infrastructure Act 2025,https://bills.parliament.uk/bills/3946,Act of Parliament,2026-02-19,"Official legislation related to planning reform, infrastructure, local plans, compulsory purchase reform, and development corporations.",implemented,2026-06-10,,40,,,yes,Relevant to planning reform and local planning system changes.,"Official legislation related to planning reform, infrastructure, local plans, compulsory purchase reform, and development corporations.",https://bills.parliament.uk/bills/3946,https://bills.parliament.uk/bills/3946,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning reform and housing target,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,Government policy,2024,Government announcement on planning reform connected to the target of delivering 1.5 million homes.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning policy framework,https://www.gov.uk/government/publications/national-planning-policy-framework--2,Government policy,2024-2025,The National Planning Policy Framework provides the policy framework for local planning authorities and development decisions.,in progress,2026-06-10,,40,,,yes,Relevant to Local Plans and the presumption in favour of development.,The National Planning Policy Framework provides the policy framework for local planning authorities and development decisions.,https://www.gov.uk/government/publications/national-planning-policy-framework--2,https://www.gov.uk/government/publications/national-planning-policy-framework--2,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,ONS search results for: local plans planning authorities presumption in favour of de,https://www.ons.gov.uk/search?q=local+plans+planning+authorities+presumption+in+favour+of+development,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0087,50,no,local plans planning authorities presumption in favour of development,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Legislation.gov.uk search results for: local plans planning authorities presumption in favour of de,https://www.legislation.gov.uk/all?title=local+plans+planning+authorities+presumption+in+favour+of+development,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0088,50,no,local plans planning authorities presumption in favour of development,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,True
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,Planning reform,local plans; planning authorities; presumption in favour of development; NPPF; planning policy,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Housing and Planning (Local Decision-Making) Bill,https://bills.parliament.uk/bills/2225,UK Parliament Bills API,2019-09-19,"Parliament bill search result. Current house: Commons. This may indicate legislative activity related to the promise, but it still requires human review.",needs review,2026-06-12,E0138,75,no,local plans planning authorities presumption in favour of development housing,yes,Relevant bill: multiple housing-related terms found.,,https://bills.parliament.uk/bills/2225,https://bills.parliament.uk/bills/2225,False
H04,"Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",Planning capacity,planning officers; local authorities; stamp duty surcharge; non-UK resident buyers; planning capacity,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents and local government funding announcements.,2026-06-10,False,False,0,No Evidence,ONS search results for: planning officers local authorities stamp duty surcharge,https://www.ons.gov.uk/search?q=planning+officers+local+authorities+stamp+duty+surcharge,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0089,50,no,planning officers local authorities stamp duty surcharge,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,True
H04,"Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",Planning capacity,planning officers; local authorities; stamp duty surcharge; non-UK resident buyers; planning capacity,not started,0,No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents and local government funding announcements.,2026-06-10,False,False,0,No Evidence,Legislation.gov.uk search results for: planning officers local authorities stamp duty surcharge,https://www.legislation.gov.uk/all?title=planning+officers+local+authorities+stamp+duty+surcharge,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0090,50,no,planning officers local authorities stamp duty surcharge,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,True
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning and Infrastructure Act 2025,https://bills.parliament.uk/bills/3946,Act of Parliament,2026-02-19,"Reforms planning system, NPPF updates, compulsory purchase reform, development corporations",implemented,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/3946,https://bills.parliament.uk/bills/3946,True
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning reform and housing target,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,Government policy,2024,Government announcement on planning reform connected to the target of delivering 1.5 million homes.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,True
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning policy framework,https://www.gov.uk/government/publications/national-planning-policy-framework--2,Government policy,2024-2025,The National Planning Policy Framework sets out the government planning policies for England.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/publications/national-planning-policy-framework--2,https://www.gov.uk/government/publications/national-planning-policy-framework--2,True
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,ONS search results for: brownfield first brownfield land urban brownfield sites,https://www.ons.gov.uk/search?q=brownfield+first+brownfield+land+urban+brownfield+sites,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0091,50,no,brownfield first brownfield land urban brownfield sites,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,True
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,Brownfield development,brownfield first; brownfield land; urban brownfield sites; fast-track approvals; planning reform,implemented,100,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Legislation.gov.uk search results for: brownfield first brownfield land urban brownfield sites,https://www.legislation.gov.uk/all?title=brownfield+first+brownfield+land+urban+brownfield+sites,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0092,50,no,brownfield first brownfield land urban brownfield sites,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,True
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,Green Belt reform,grey belt; Green Belt; golden rules; land release; community benefit; environmental benefit,in progress,50,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,National Planning Policy Framework (Community Involvement) Bill,https://bills.parliament.uk/bills/1370,Parliamentary Bill,Not available,"The National Planning Policy Framework sets out government planning policies for England and is relevant to housing targets, local plans, and planning reform.",in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/1370,https://bills.parliament.uk/bills/1370,True
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,Green Belt reform,grey belt; Green Belt; golden rules; land release; community benefit; environmental benefit,in progress,50,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Planning and Infrastructure Act 2025,https://bills.parliament.uk/bills/3946,Act of Parliament,2026-02-19,"Reforms planning system, NPPF updates, compulsory purchase reform, development corporations",implemented,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/3946,https://bills.parliament.uk/bills/3946,True
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,Green Belt reform,grey belt; Green Belt; golden rules; land release; community benefit; environmental benefit,in progress,50,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,ONS search results for: grey belt Green Belt golden rules,https://www.ons.gov.uk/search?q=grey+belt+Green+Belt+golden+rules,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0093,50,no,grey belt Green Belt golden rules,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,True
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,Green Belt reform,grey belt; Green Belt; golden rules; land release; community benefit; environmental benefit,in progress,50,Parliamentary evidence indicates that this promise has been enacted.,2026-06-10,False,True,1,Enacted,Legislation.gov.uk search results for: grey belt Green Belt golden rules,https://www.legislation.gov.uk/all?title=grey+belt+Green+Belt+golden+rules,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0094,50,no,grey belt Green Belt golden rules,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,True
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Affordable Housing (Conversion of Commercial Property) Bill,https://bills.parliament.uk/bills/3420,Parliamentary Bill,Not available,Parliamentary Bill item related to this promise. Human review is needed to confirm its relevance.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/3420,https://bills.parliament.uk/bills/3420,False
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Affordable Housing (Conversion of Commercial Property) Bill,https://bills.parliament.uk/bills/3655,Parliamentary Bill,Not available,Parliamentary Bill item related to this promise. Human review is needed to confirm its relevance.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/3655,https://bills.parliament.uk/bills/3655,False
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Affordable Housing Contributions (Ten Unit Threshold) Bill,https://bills.parliament.uk/bills/1496,Parliamentary Bill,Not available,Parliamentary Bill item related to this promise. Human review is needed to confirm its relevance.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://bills.parliament.uk/bills/1496,https://bills.parliament.uk/bills/1496,False
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Carers Bedroom Entitlement (Social Housing Sector) Bill,https://bills.parliament.uk/bills/1505,Parliamentary Bill,Not available,Parliamentary bill related to bedroom entitlement in the social housing sector. This is only weakly related to wider social housing supply promises.,in progress,2026-06-10,,40,,,maybe,"Weakly relevant: related to social housing, but not direct evidence for increasing social and affordable housing supply.",Parliamentary bill related to bedroom entitlement in the social housing sector. This is only weakly related to wider social housing supply promises.,https://bills.parliament.uk/bills/1505,https://bills.parliament.uk/bills/1505,False
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Net additional dwellings,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,Statistics,2024-2025,Annual housing supply in England amounted to 208600 net additional dwellings in 2024-25.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,True
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Housebuilding starts and completions,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,Statistics,Quarterly dataset,ONS dataset bringing together quarterly UK totals for newly built dwellings started and completed.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,True
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Affordable housing supply,https://www.gov.uk/government/statistics/affordable-housing-supply-in-england-2024-to-2025/affordable-housing-supply-in-england-2024-to-2025,Statistics,2024-2025,"Official statistics on new affordable homes, including affordable homes for rent.",in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/statistics/affordable-housing-supply-in-england-2024-to-2025/affordable-housing-supply-in-england-2024-to-2025,https://www.gov.uk/government/statistics/affordable-housing-supply-in-england-2024-to-2025/affordable-housing-supply-in-england-2024-to-2025,False
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,Social and affordable housing,social housing; affordable housing; Affordable Homes Programme; planning obligations; housing associations,not started,0,"No parliamentary evidence has been found yet. This promise needs to be tracked through budget documents, housing programme reforms, and official housing statistics.",2026-06-10,False,False,0,No Evidence,Affordable homes funding and delivery,https://www.gov.uk/government/publications/the-affordable-homes-programme-annual-report-2024-to-2025/the-affordable-homes-programme-annual-report-2024-to-2025,Government funding,2024-2025,"Annual report on the Affordable Homes Programme, including additional funding and delivery targets.",in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/publications/the-affordable-homes-programme-annual-report-2024-to-2025/the-affordable-homes-programme-annual-report-2024-to-2025,https://www.gov.uk/government/publications/the-affordable-homes-programme-annual-report-2024-to-2025/the-affordable-homes-programme-annual-report-2024-to-2025,False
